"species.correct","N","dbh.crit","p","p.est","str.match"
"Myrcia strigipes",522,15,0.053639846743295,"0.3047","late_secondary_large_tree"
"Myrcia subcordata",77,9,0.584415584415584,"0.2868","climax_small_tree"
"Myrcia tenuivenosa",41,15,0.365853658536585,"0.3047","late_secondary_large_tree"
"Myrcia tijucensis",126,15,0.26984126984127,"0.3047","late_secondary_large_tree"
"Myrcia vellozoi",193,12.5,0.0362694300518135,"0.4498","early_secondary_large_tree"
"Myrcia vittoriana",15,8,0.266666666666667,"0.4927","late_secondary_small_tree"
"Myrcianthes pungens",1,12.5,0,"0.4498","early_secondary_large_tree"
"Myrciaria ferruginea",2,12.5,0.5,"0.4498","early_secondary_large_tree"
"Myrciaria floribunda",141,15,0.212765957446809,"0.3047","late_secondary_large_tree"
"Myrocarpus frondosus",192,15,0.333333333333333,"0.3047","late_secondary_large_tree"
"Myroxylon peruiferum",33,15,0.454545454545455,"0.3047","late_secondary_large_tree"
"Myrsine coriacea",544,10,0.571691176470588,"0.5842","pioneer_large_tree"
"Myrsine gardneriana",20,12.5,0.5,"0.4498","early_secondary_large_tree"
"Myrsine guianensis",19,12.5,0.526315789473684,"0.4498","early_secondary_large_tree"
"Myrsine hermogenesii",72,15,0.180555555555556,"0.3047","late_secondary_large_tree"
"Myrsine lancifolia",3,12.5,0,"0.4498","early_secondary_large_tree"
"Myrsine umbellata",294,12.5,0.370748299319728,"0.4498","early_secondary_large_tree"
"Myrsine venosa",54,12.5,0.314814814814815,"0.4498","early_secondary_large_tree"
"Naucleopsis glabra",1,NA,NA,NA,"NA_NA"
"Naucleopsis oblongifolia",8,15,0.25,"0.3047","late_secondary_large_tree"
"Nectandra cuspidata",82,12.5,0.475609756097561,"0.4498","early_secondary_large_tree"
"Nectandra debilis",1,NA,NA,"0.5122","unknown_small_tree"
"Nectandra grandiflora",24,15,0.0833333333333333,"0.3047","late_secondary_large_tree"
"Nectandra leucantha",28,15,0.5,"0.3047","late_secondary_large_tree"
"Nectandra megapotamica",104,12.5,0.596153846153846,"0.4498","early_secondary_large_tree"
"Nectandra membranacea",73,12.5,0.465753424657534,"0.4498","early_secondary_large_tree"
"Nectandra oppositifolia",222,12.5,0.698198198198198,"0.4498","early_secondary_large_tree"
"Nectandra psammophila",9,8,0.888888888888889,"0.4927","late_secondary_small_tree"
"Nectandra reticulata",2,12.5,0,"0.4498","early_secondary_large_tree"
"Neea alumnorum",4,NA,NA,"0.5122","unknown_small_tree"
"Neea floribunda",2,12.5,0,"0.4498","early_secondary_large_tree"
"Neea hirsuta",4,9,0.25,"0.2868","climax_small_tree"
"Neea madeirana",1,NA,NA,"0.3342","unknown_large_tree"
"Neea verticillata",1,12.5,0,"0.4498","early_secondary_large_tree"
