family,species,records outside the AF,records out.in transition,records in.out transition,records inside the AF,endemism level (validated taxonomy only),group of species (validated taxonomy only),endemism level (validated and probably validated taxonomy),group of species (validated and probably validated taxonomy),endemism accepted by the BF-2020
Moraceae,Ficus vermifuga,0,0,0,29,100,pure_endemic,100,pure_endemic,Endemic
Moraceae,Helicostylis pedunculata,17,0,0,3,16.666667,widespread,15,widespread,Not endemic
Moraceae,Helicostylis tomentosa,323,0,1,88,19.575114,widespread,21.506683,widespread,Not endemic
Moraceae,Maclura brasiliensis,10,0,0,1,20,widespread,9.090909,widespread,Endemic
Moraceae,Maclura tinctoria,423,20,11,240,34.296482,widespread,36.182756,widespread,Not endemic
Moraceae,Naucleopsis oblongifolia,50,0,0,38,36.842105,widespread,43.181818,widespread,Not endemic
Moraceae,Pseudolmedia hirtula,0,0,0,14,100,pure_endemic,100,pure_endemic,Endemic
Moraceae,Pseudolmedia laevigata,290,2,0,1,0.46729,occasional,0.342466,occasional,Not endemic
Moraceae,Pseudolmedia laevis,326,0,0,2,0.790514,occasional,0.609756,occasional,Not in the AF
Moraceae,Pseudolmedia macrophylla,150,0,0,10,0.787402,occasional,6.25,occasional,Not endemic
Moraceae,Sorocea bonplandii,48,28,16,408,81.996086,widespread,87.029289,widespread,Not endemic
Moraceae,Sorocea carautana,0,0,0,4,100,pure_endemic,100,pure_endemic,Endemic
Moraceae,Sorocea guilleminiana,171,1,4,212,54.545455,widespread,55.512322,widespread,Not endemic
Moraceae,Sorocea hilarii,0,0,4,270,100,pure_endemic,100,pure_endemic,Not endemic
Moraceae,Sorocea jureiana,0,0,0,7,100,pure_endemic,100,pure_endemic,Endemic
Moraceae,Sorocea klotzschiana,27,0,0,4,12.903226,widespread,12.903226,widespread,Not in the AF
Moraceae,Sorocea pubivena,346,0,0,5,2.793296,occasional,1.424501,occasional,Not in the AF
Moraceae,Sorocea racemosa,0,1,0,110,99.530516,near_endemic,99.547511,near_endemic,Endemic
Moraceae,Trophis racemosa,342,0,0,1,0.775194,occasional,0.291545,occasional,Not in the AF
Myristicaceae,Virola bicuhyba,2,1,0,111,96.688742,near_endemic,97.797357,near_endemic,Endemic
Myristicaceae,Virola flexuosa,91,0,0,1,1.639344,occasional,1.086957,occasional,Not in the AF
Myristicaceae,Virola gardneri,3,0,0,70,95.238095,near_endemic,95.890411,near_endemic,Endemic
Myristicaceae,Virola officinalis,0,0,0,35,100,pure_endemic,100,pure_endemic,Endemic
Myristicaceae,Virola sebifera,1196,16,3,5,0.312337,occasional,0.536968,occasional,Not endemic
Myristicaceae,Virola surinamensis,261,0,0,2,0.492611,occasional,0.760456,occasional,Not in the AF
Myrtaceae,Acca sellowiana,15,8,2,108,87.037037,widespread,85.15625,widespread,Not endemic
Myrtaceae,Accara elegans,5,11,1,33,76.136364,widespread,76.136364,widespread,Not endemic
Myrtaceae,Algrizea minor,17,8,1,2,11.111111,widespread,10.638298,widespread,Not in the AF
Myrtaceae,Blepharocalyx eggersii,24,0,0,41,63.076923,widespread,63.076923,widespread,Not endemic
Myrtaceae,Blepharocalyx myriophyllus,3,0,1,1,33.333333,widespread,33.333333,widespread,Endemic
Myrtaceae,Blepharocalyx salicifolius,423,102,86,441,50.825083,widespread,50.521921,widespread,Not endemic
Myrtaceae,Calycolpus legrandii,0,0,1,88,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Calyptranthes angustifolia,0,0,0,8,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Calyptranthes aromatica,0,0,0,17,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Calyptranthes bimarginata,0,0,0,3,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Calyptranthes brasiliensis,37,20,27,420,90.618102,near_endemic,90.218522,widespread,Not endemic
Myrtaceae,Calyptranthes caudata,0,0,0,5,100,pure_endemic,100,pure_endemic,Endemic
Myrtaceae,Calyptranthes clusiifolia,39,7,3,62,59.313725,widespread,59.90566,widespread,Not endemic
