"taxon_id","language","name"
"sp664","Portuguese","Jequitibá-Cravino"
"sp666","Portuguese","Pequi"
"sp667","Portuguese","Piqui"
"sp670","Portuguese","Camarao-Branco, Rama-Branca"
"sp670","Portuguese","Capanca-Braba, Boieira"
"sp670","Portuguese","Língua-De-Velho, Pindaíba"
"sp670","Portuguese","Língua-De-Cao"
"sp670","Portuguese","Folha-De-Carne, Cha-De-Frade"
"sp670","Portuguese","Erva-De-Lagarto, Espeteiro, Pau-Prego"
"sp670","Portuguese","Pau-De-Olaria, Muirapuama"
"sp670","Portuguese","Carniceiro"
"sp670","Portuguese","Erva-De-Lagarto, Imbuí-Amarelo"
"sp670","Portuguese","Folha-De-Carne"
"sp670","Portuguese","Puleiro-De-Pombo, Língua -De-Tiu"
"sp671","Portuguese","Pau-De-Espeto"
"sp671","Portuguese","Louro-Caja"
"sp673","Portuguese","Envira-Surucucu"
"sp673","Portuguese","Ariri (Indigina)"
"sp674","Portuguese","Carapanauba-Í"
"sp674","Portuguese","Aderninho-De-Capoeira, Pau-De-Espeto, Quebra-Facao"
"sp674","Portuguese","Cabatao, Canela-De-Viado, Flor-Da-Noiva"
"sp674","Portuguese","Mourao"
"sp674","Portuguese","Pa-De-Carne"
"sp674","Portuguese","Assa-Leitao, Erva-De-Tiu, Pau-De-Espeto"
"sp674","Portuguese","Cafe-Bravo, Farinha-Seca, Pimentinha"
"sp674","Portuguese","Cafezinho-Do-Mato, Sapucainha"
"sp674","Portuguese","Tomimrinanke (Uaiaca-Mucajaí)"
"sp675","Portuguese","Cabelo De Cotia"
"sp675","Portuguese","Brogotó"
"sp675","Portuguese","Pau-Vidro, Cocão-Branco, Pau-Vidro-Branco"
"sp675","Portuguese","Espeto, Espeto-Vermelho, Guaçatonga"
"sp675","Portuguese","Caferana, Limão, Andorinha"
"sp675","Portuguese","Cambroé, Guassatunga, Guaçatonga-Branca, Pau-De-La"
"sp675","Portuguese","Carrapatinho"
"sp675","Portuguese","Assa-Leitão"
"sp675","Portuguese","Assa-Peixe"
"sp675","Portuguese","Chá-De-Bugre, Guassatonga, Café-Do-Mato,Guaçatonga"
"sp675","Portuguese","Cafezeiro-Do-Mato, Cambroé, Guaçatunga"
"sp675","Portuguese","Pau-De-Espeto, Vidro, Anavinga"
"sp677","Portuguese","Laranjinha"
"sp677","Portuguese","Pau-De-Espeto"
"sp677","Portuguese","Vidro"
"sp681","Portuguese","Capança"
"sp681","Portuguese","Mata Calado"
"sp681","Portuguese","Mutamba Brava"
"sp684","Portuguese","Cafezinho-Do-Mato"
"sp684","Portuguese","Espeteiro"
"sp690","Portuguese","Cabelo De Cotia"
"sp697","Portuguese","Guaçatonga"
"sp697","Portuguese","Pau-De-Lagarto"
"sp698","Portuguese","Azulão"
"sp698","Portuguese","Caferana"
"sp700","Portuguese","São-João-Preto"
"sp702","Portuguese","Taxi Preto Da Folha Miúda"
"sp704","Portuguese","Angelca Preta"
"sp704","Portuguese","Laranjinha"
"sp705","Portuguese","Romãzeirinha"
"sp709","Portuguese","Imbaré"
"sp709","Portuguese","Barriguda Lisa"
"sp710","Portuguese","Embaúba Vermelha"
"sp711","Portuguese","Embaúba Branca"
"sp711","Portuguese","Embaubaubaçú"
"sp712","Portuguese","Embaúba"
"sp713","Portuguese","Imbaúba Branca"
"sp713","Portuguese","Torem"
"sp714","Portuguese","Imbaúba Branca"
"sp717","Portuguese","Cedro"
"sp717","Portuguese","Cedro Branco"
"sp717","Portuguese","Cedro Rosa"
"sp717","Portuguese","Cedro Vermelho"
"sp719","Portuguese","Paineira-Da-Praia"
"sp725","Portuguese","Paineira"
"sp728","Portuguese","Grão-De-Galo"
"sp730","Portuguese","Cipó Farinha Seca"
"sp730","Portuguese","Cipó Laranjinha"
"sp730","Portuguese","Grão De Galo"
"sp730","Portuguese","Gumbixava"
"sp746","Portuguese","Mandacaru, Mandacaru-De-Boi, Mandacaru-Facheiro, Mandacaru-De-Faixo, Cardeiro, Jamacaru, Jamaracurú, Jumucurú, Jumarucú, Cumbeba, Urumbeba"
"sp772","Portuguese","Cumaté-Branco"
"sp772","Portuguese","Pitomba-De-Espinho"
"sp773","Portuguese","Arranha-Gato"
"sp777","Portuguese","Sucupira-Preta"
"sp778","Portuguese","Acapu"
"sp778","Portuguese","Acariquara"
"sp781","Portuguese","Sucupira-Preta"
"sp781","Portuguese","Coração-De-Negro"
"sp806","Portuguese","Bacuparí"
"sp806","Portuguese","Pitombinha"
"sp821","Portuguese","Arapiraca"
"sp821","Portuguese","Jurema-Branca"
"sp848","Portuguese","Gargaúba"
"sp850","Portuguese","Cambará"
"sp850","Portuguese","Camará"
"sp850","Portuguese","Cambará-Falso"
"sp850","Portuguese","Mata-Pasto"
"sp853","Portuguese","Guajiru"
"sp853","Portuguese","Ajurú-Branco"
"sp856","Portuguese","Aguaí"
"sp856","Portuguese","Aguaí-Da-Serra"
"sp856","Portuguese","Bapeba"
"sp856","Portuguese","Cutite-Branco"
"sp856","Portuguese","Guatambu-De-Leite"
"sp857","Portuguese","Guapeba"
"sp857","Portuguese","Marmeleiro-Do-Mato"
